"","campaignid","sample","family","genus","species","code","length","precision","rms","range","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","comment"
"1","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1210","Lethrinidae","Lethrinus","nebulosus","37351008","582.21896","49.41077","12.50076","6900.48070","-22.052","113.8806","20150826","15:13:00","North.Mandu","Fished","MAN1","48.7","Brigit Vaughan","Yes","Yes",NA
"2","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1210","Lethrinidae","Lethrinus","nebulosus","37351008","580.23626","2.65508","6.80782","2552.39402","-22.052","113.8806","20150826","15:13:00","North.Mandu","Fished","MAN1","48.7","Brigit Vaughan","Yes","Yes",NA
"3","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1210","Lethrinidae","Lethrinus","nebulosus","37351008","513.04157","8.94668","3.40280","2694.46520","-22.052","113.8806","20150826","15:13:00","North.Mandu","Fished","MAN1","48.7","Brigit Vaughan","Yes","Yes",NA
"4","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1210","Lethrinidae","Lethrinus","nebulosus","37351008","475.09925","8.63915","12.74698","3801.07831","-22.052","113.8806","20150826","15:13:00","North.Mandu","Fished","MAN1","48.7","Brigit Vaughan","Yes","Yes",NA
"5","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1210","Lethrinidae","Lethrinus","nebulosus","37351008","495.82320","14.56950","10.12544","5679.29654","-22.052","113.8806","20150826","15:13:00","North.Mandu","Fished","MAN1","48.7","Brigit Vaughan","Yes","Yes",NA
"6","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1210","Lethrinidae","Lethrinus","nebulosus","37351008","477.97246","10.82449","14.11187","5258.33147","-22.052","113.8806","20150826","15:13:00","North.Mandu","Fished","MAN1","48.7","Brigit Vaughan","Yes","Yes",NA
"7","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1210","Lethrinidae","Lethrinus","nebulosus","37351008","589.78818","39.26830","16.84591","5891.82248","-22.052","113.8806","20150826","15:13:00","North.Mandu","Fished","MAN1","48.7","Brigit Vaughan","Yes","Yes",NA
"8","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1210","Lethrinidae","Lethrinus","nebulosus","37351008","484.71157","3.71654","8.36040","3001.76689","-22.052","113.8806","20150826","15:13:00","North.Mandu","Fished","MAN1","48.7","Brigit Vaughan","Yes","Yes",NA
"9","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1184","Lethrinidae","Lethrinus","nebulosus","37351008","457.37740","0.84941","1.42296","1475.52461","-22.2661","113.805","20150826","8:20:00","Osprey.Sanctuary","No-take","O5","36.6","Arthur de Lima","Yes","Yes",NA
"10","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1184","Lethrinidae","Lethrinus","nebulosus","37351008","511.03030","2.55654","0.14034","1790.73323","-22.2661","113.805","20150826","8:20:00","Osprey.Sanctuary","No-take","O5","36.6","Arthur de Lima","Yes","Yes",NA
"11","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1184","Lethrinidae","Lethrinus","nebulosus","37351008","507.88320","2.55838","1.17742","1784.60781","-22.2661","113.805","20150826","8:20:00","Osprey.Sanctuary","No-take","O5","36.6","Arthur de Lima","Yes","Yes",NA
"12","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1184","Lethrinidae","Lethrinus","nebulosus","37351008","415.81900","8.63161","5.62512","3748.24115","-22.2661","113.805","20150826","8:20:00","Osprey.Sanctuary","No-take","O5","36.6","Arthur de Lima","Yes","Yes",NA
"13","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1184","Lethrinidae","Lethrinus","nebulosus","37351008","455.45757","0.82344","6.25037","1393.27986","-22.2661","113.805","20150826","8:20:00","Osprey.Sanctuary","No-take","O5","36.6","Arthur de Lima","Yes","Yes",NA
"14","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1184","Lethrinidae","Lethrinus","nebulosus","37351008","398.75639","1.11578","2.08283","1115.84707","-22.2661","113.805","20150826","8:20:00","Osprey.Sanctuary","No-take","O5","36.6","Arthur de Lima","Yes","Yes",NA
"15","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1140","Lethrinidae","Lethrinus","nebulosus","37351008","664.03843","24.09981","2.53981","4335.73971","-23.2202","113.7273","20150823","15:32:00","Between.Maud.and.Pelican","Fished","PN2","43.9","Todd Bond","Yes","Yes",NA
"16","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1190","Lethrinidae","Lethrinus","nebulosus","37351008","589.30014","2.99812","7.01708","3544.54260","-22.2135","113.8266","20150826","10:22:00","Between.Mandu.and.Osprey","Fished","ON1","38.7","Matt Birt","Yes","Yes",NA
"17","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1190","Lethrinidae","Lethrinus","nebulosus","37351008","656.22254","14.91849","7.86231","3940.24367","-22.2135","113.8266","20150826","10:22:00","Between.Mandu.and.Osprey","Fished","ON1","38.7","Matt Birt","Yes","Yes",NA
"18","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1142","Lethrinidae","Lethrinus","nebulosus","37351008","641.38968","11.08490","2.56017","2640.27236","-23.1667","113.7322","20150824","8:24:00","Maud.deep.outside","Fished","PN3","40.1","Nicole Ryan","Yes","Yes",NA
"19","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1213","Lethrinidae","Lethrinus","nebulosus","37351008","518.62939","6.89768","6.56145","3596.05621","-22.0094","113.8916","20150826","15:40:00","North.Mandu","Fished","MAN2","47.5","Matt Birt","Yes","Yes",NA
"20","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1213","Lethrinidae","Lethrinus","nebulosus","37351008","493.20592","4.24278","2.73782","1911.39548","-22.0094","113.8916","20150826","15:40:00","North.Mandu","Fished","MAN2","47.5","Matt Birt","Yes","Yes",NA
"21","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1213","Lethrinidae","Lethrinus","nebulosus","37351008","484.14175","8.82720","4.92723","2696.37060","-22.0094","113.8916","20150826","15:40:00","North.Mandu","Fished","MAN2","47.5","Matt Birt","Yes","Yes",NA
"22","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1213","Lethrinidae","Lethrinus","nebulosus","37351008","500.06358","1.80336","4.46451","1671.72006","-22.0094","113.8916","20150826","15:40:00","North.Mandu","Fished","MAN2","47.5","Matt Birt","Yes","Yes",NA
"23","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1213","Lethrinidae","Lethrinus","nebulosus","37351008","475.22514","2.88064","3.37689","1743.38136","-22.0094","113.8916","20150826","15:40:00","North.Mandu","Fished","MAN2","47.5","Matt Birt","Yes","Yes",NA
"24","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1213","Lethrinidae","Lethrinus","nebulosus","37351008","539.21188","3.18750","5.90636","1943.47581","-22.0094","113.8916","20150826","15:40:00","North.Mandu","Fished","MAN2","47.5","Matt Birt","Yes","Yes",NA
"25","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1045","Lethrinidae","Lethrinus","nebulosus","37351008","211.23829","15.46823","3.13033","4320.68406","-22.4789","113.6716","20150820","10:15:00","Winderabandi.deep.outside","Fished","CN3","37.2","Katrina Bornt","Yes","Yes",NA
"26","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1038","Lethrinidae","Lethrinus","nebulosus","37351008","613.24007","12.11391","15.36456","4493.47351","-22.3645","113.7366","20150820","9:12:00","Between.Winderabandi.and.Cloates","Fished","CN6","45.2","Katrina Bornt","Yes","Yes",NA
"27","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1145","Lethrinidae","Lethrinus","nebulosus","37351008","551.52679","1.50352","1.38367","1362.07421","-23.0921","113.7196","20150824","9:08:00","Maud.deep.outside","Fished","PN4","38.5","Nicole Ryan","Yes","Yes",NA
"28","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1145","Lethrinidae","Lethrinus","nebulosus","37351008","592.93650","1.99700","5.08526","1346.64774","-23.0921","113.7196","20150824","9:08:00","Maud.deep.outside","Fished","PN4","38.5","Nicole Ryan","Yes","Yes",NA
"29","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1145","Lethrinidae","Lethrinus","nebulosus","37351008","517.30838","2.22127","6.14632","1353.56786","-23.0921","113.7196","20150824","9:08:00","Maud.deep.outside","Fished","PN4","38.5","Nicole Ryan","Yes","Yes",NA
"30","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1145","Lethrinidae","Lethrinus","nebulosus","37351008","561.87886","2.20031","3.45931","1305.02685","-23.0921","113.7196","20150824","9:08:00","Maud.deep.outside","Fished","PN4","38.5","Nicole Ryan","Yes","Yes",NA
"31","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1145","Lethrinidae","Lethrinus","nebulosus","37351008","507.30685","1.40273","1.99959","1515.83419","-23.0921","113.7196","20150824","9:08:00","Maud.deep.outside","Fished","PN4","38.5","Nicole Ryan","Yes","Yes",NA
"32","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1145","Lethrinidae","Lethrinus","nebulosus","37351008","534.02387","7.40362","5.40258","3498.67017","-23.0921","113.7196","20150824","9:08:00","Maud.deep.outside","Fished","PN4","38.5","Nicole Ryan","Yes","Yes",NA
"33","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1145","Lethrinidae","Lethrinus","nebulosus","37351008","543.59566","7.47446","2.43673","3494.29662","-23.0921","113.7196","20150824","9:08:00","Maud.deep.outside","Fished","PN4","38.5","Nicole Ryan","Yes","Yes",NA
"34","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1126","Lethrinidae","Lethrinus","nebulosus","37351008","369.35779","8.32326","5.78003","3563.12679","-23.4351","113.7402","20150823","10:08:00","Pelican.Sanctuary","No-take","P1","41.3","Brigit Vaughan","Yes","Yes",NA
"35","2015-08_Ningaloo.deep.sanctuaries_stereoBRUVs","NCB1188","Lethrinidae","Lethrinus","nebulosus","37351008","274.95112","1.40983","10.07074","1120.76449","-22.2229","113.8249","20150826","8:44:00","Osprey.Sanctuary","No-take","O6","32.5","Matt Birt","Yes","Yes",NA
